city_id,city,latitude,longitude,display_name
1,Mont Saint Michel,48.6359541,-1.51146,"Mont Saint-Michel, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France"
2,St Malo,48.649518,-2.0260409,"Saint-Malo, Ille-et-Vilaine, Bretagne, France métropolitaine, 35400, France"
3,Bayeux,49.2764624,-0.7024738,"Bayeux, Calvados, Normandie, France métropolitaine, 14400, France"
4,Le Havre,49.4938975,0.1079732,"Le Havre, Seine-Maritime, Normandie, France métropolitaine, France"
5,Rouen,49.4404591,1.0939658,"Rouen, Seine-Maritime, Normandie, France métropolitaine, France"
6,Paris,48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
7,Amiens,49.8941708,2.2956951,"Amiens, Somme, Hauts-de-France, France métropolitaine, France"
8,Lille,50.6365654,3.0635282,"Lille, Nord, Hauts-de-France, France métropolitaine, France"
9,Strasbourg,48.584614,7.7507127,"Strasbourg, Bas-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, France"
10,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,"Château du Haut-Kœnigsbourg, D 159, Château du Haut-Kœnigsbourg, Orschwiller, Sélestat-Erstein, Bas-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, 67600, France"
11,Colmar,48.0777517,7.3579641,"Colmar, Colmar-Ribeauvillé, Haut-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, 68000, France"
12,Eguisheim,48.0447968,7.3079618,"Eguisheim, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68420, France"
13,Besancon,47.2380222,6.0243622,"Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25000, France"
14,Dijon,47.3215806,5.0414701,"Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France"
15,Annecy,45.8992348,6.1288847,"Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France"
16,Grenoble,45.1875602,5.7357819,"Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, France"
17,Lyon,45.7578137,4.8320114,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France"
18,Gorges du Verdon,43.7496562,6.3285616,"Gorges du Verdon, Route de la Maline, La Palud-sur-Verdon, Castellane, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, France métropolitaine, 04120, France"
19,Bormes les Mimosas,43.1506968,6.3419285,"Bormes-les-Mimosas, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83230, France"
20,Cassis,43.2140359,5.5396318,"Cassis, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13260, France"
21,Marseille,43.2961743,5.3699525,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
22,Aix en Provence,43.5298424,5.4474738,"Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
23,Avignon,43.9492493,4.8059012,"Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
24,Uzes,44.0121279,4.4196718,"Uzès, Nîmes, Gard, Occitanie, France métropolitaine, 30700, France"
25,Nimes,43.8374249,4.3600687,"Nîmes, Gard, Occitanie, France métropolitaine, France"
26,Aigues Mortes,43.5661521,4.19154,"Aigues-Mortes, Nîmes, Gard, Occitanie, France métropolitaine, 30220, France"
27,Saintes Maries de la mer,43.4515922,4.4277202,"Saintes-Maries-de-la-Mer, Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13460, France"
28,Collioure,42.52505,3.0831554,"Collioure, Céret, Pyrénées-Orientales, Occitanie, France métropolitaine, 66190, France"
29,Carcassonne,43.2130358,2.3491069,"Carcassonne, Aude, Occitanie, France métropolitaine, 11000, France"
30,Ariege,42.9455368,1.4065544,"Ariège, Occitanie, France métropolitaine, France"
31,Toulouse,43.6044638,1.4442433,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France"
32,Montauban,44.0175835,1.3549991,"Montauban, Tarn-et-Garonne, Occitanie, France métropolitaine, 82000, France"
33,Biarritz,43.4832523,-1.5592776,"Biarritz, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64200, France"
34,Bayonne,43.4945144,-1.4736657,"Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64100, France"
35,La Rochelle,46.159732,-1.1515951,"La Rochelle, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17000, France"
